Name,Net cash flow / Change in cash,Average Payables,Average Receivables,currentRatio,SG&A to Revenue,daysOfPayablesOutstanding,daysOfInventoryOutstanding,eBITperRevenue,Intangibles to Total Assets,Debt to Assets,Debt to Equity,Payout Ratio,ROE,R&D to Revenue,PE ratio,returnOnAssets,Dividend Yield,cluster
Brunswick Corporation,-0.2659099401335893,-0.09160417325056043,-0.09351944063902216,-0.2345620440364073,-0.1012323346425698,-0.05112898222050884,-0.048495960078621836,0.0744283666937105,-0.10124867024837407,-0.1655393356245981,-0.03364871820969538,-0.015775381251190563,-0.04105777306117641,-0.04838901595663276,-0.10708536806109567,-0.030784806206052333,-0.0776385218853005,1
"Malibu Boats, Inc.",-0.004902088088261576,-0.2378919033042733,-0.13352243008944414,0.14749067630446755,-0.1149818757624384,-0.05468488426790513,-0.048921124640613566,0.0935297374011078,0.4281148445394653,-0.1310515867770128,-0.032483807325180004,-0.16523807271248564,-0.02578969230667792,-0.06336238125970449,0.13792571309001075,-0.023187227688350583,-0.38395929440258336,12
Zumiez Inc.,-0.040452130604900965,-0.233317266775252,-0.13376694488550034,0.6769659137333974,-0.06216925202435147,-0.055414168963841264,-0.049632417042147985,0.07108948601812327,-0.3849141975460621,-0.9764289676194756,-0.058610169774005474,-0.16523807271248564,-0.07824098819680203,-0.06336238125970449,-0.05435561056070912,-0.04777548472708458,-0.38395929440258336,12
The E.W. Scripps Company,-0.10496308271281392,-0.2355462701130752,-0.10803099008135883,0.3758917591169471,-0.04985829468362405,-0.057070539917880775,-0.044378302344169236,0.07272354743968383,1.6094726636084515,-0.05466549842037746,-0.034545052418058615,0.3000154415639193,-0.09971298566948723,-0.06336238125970449,0.6051674587563985,-0.054734985361463734,-0.1523953770829707,1
Duluth Holdings Inc.,-0.07199467242755841,-0.2397032292387287,-0.13520462809117428,0.13157181295693102,-0.008665001469369766,-0.05577911712745893,-0.050035436705287546,0.07564591098997234,-1.0726939991170716,-0.6175853659739392,-0.05193134736945063,-0.16523807271248564,-0.03944636612138765,-0.06336238125970449,0.04768556979738449,-0.039168852812500564,-0.38395929440258336,12
Canada Goose Holdings Inc.,0.04841400504836346,-0.22199307166224572,-0.13445563849627254,-0.06208462028831666,-0.04642782567182583,-0.042505152158292286,-0.04959208258331878,0.1019881436341356,0.3687632880587182,-0.2638721732478784,-0.04039872961274838,-0.16523807271248564,0.05034928559834095,-0.06336238125970449,0.36660691276726615,-0.00904564111145649,-0.38395929440258336,11
"Golden Entertainment, Inc.",-0.009606174571548646,-0.23611707851617966,-0.1338713097413792,0.029829512431371937,-0.08034520477234683,-0.056144089756328584,-0.04970899315259753,0.07274846028589345,-0.12481472943925888,1.0489424647023522,0.041093258486238536,-0.16523807271248564,-0.1353250790388188,-0.06336238125970449,-0.33652087625845195,-0.06386098299503126,-0.38395929440258336,11
PVH Corp.,-0.3816284773773389,0.028971280231033725,-0.06856457753561285,-0.14943073135175586,-0.008333020597260252,-0.05014677574971989,-0.04826951849016151,0.07443543940156823,1.6958815473083628,-0.2376500832150037,-0.040602589017538576,-0.1524436010698845,-0.06945882037495328,-0.06336238125970449,-0.020670646548981163,-0.021896232901162976,-0.3657259150860784,1
"Vera Bradley, Inc.",-0.07090003761579322,-0.23631870389608256,-0.13330273558862565,2.888995794547593,0.005859161685421032,-0.05640760498528386,-0.049270294208293784,0.06781203713360734,-1.0805493521807,-0.9764289676194756,-0.058610169774005474,-0.16523807271248564,-0.09866557115862454,-0.06336238125970449,0.3481937029998032,-0.057049872566075986,-0.38395929440258336,12
Bright Horizons Family Solutions Inc.,-0.04313327509189988,-0.19443450752090632,-0.12286440592258065,-0.9924383642778166,-0.11077678471571804,-0.05182487184750763,-0.04847915145054274,0.08351908127617437,1.807602124213299,0.4210374175021007,-0.007231128039741073,-0.16523807271248564,-0.027401099246466668,-0.06336238125970449,0.27671848078857586,0.015216157475345013,-0.38395929440258336,1
Tenneco Inc.,0.5000501073717214,0.5101954412648259,0.05415134803501704,-0.2913162524928417,-0.12140017262322216,-0.03811496055351003,-0.0452097295722645,0.0658195257877379,-0.29283200330019715,0.2067003337551244,0.0443711882807221,0.4599463370964334,-0.09572475349351006,-0.0543679639075121,0.10426469538050816,-0.059112496421467674,0.2815590506498467,18
"Superior Industries International, Inc.",-0.04427624442782095,-0.20510570456725052,-0.12204204674301955,0.16687016211885974,-0.1257435890333215,-0.052681277992673324,-0.04846192416890183,0.0658573560563698,0.3019927870178779,0.328405034233793,-0.001005326534719998,0.5564864413087875,-0.08053724308600099,-0.06336238125970449,-0.08828452752635861,-0.05534338520370157,0.9798974784719856,11
"Lumber Liquidators Holdings, Inc.",-0.05774878223444276,-0.2198121902513758,-0.13524046301542306,-0.22279592764909786,-0.026951614508068274,-0.05301574245233795,-0.050051158083818034,0.053813343800760416,-0.9915220174595792,-0.5868029124570863,-0.04434001143869208,-0.16523807271248564,-0.2571877288603437,-0.06336238125970449,-0.33652087625845195,-0.0976939498316719,-0.38395929440258336,2
Lear Corporation,-0.018266584017358502,0.8037689470027709,0.16933645711887813,-0.30446661786689344,-0.13205122560340207,-0.04697177321022488,-0.04694494860904386,0.07464955840262133,-0.5520586543999305,-0.49388550647103,-0.043482507593146036,-0.07160580296435914,0.0016847960167204233,-0.06336238125970449,-0.2305390325403868,-0.02168848661356957,0.03176175401372914,18
"Carrols Restaurant Group, Inc.",-0.0819515844036668,-0.23418668931859196,-0.13418819214523675,-0.9779037499170226,-0.11310065082048455,-0.05685301936262671,-0.04982502267482828,0.0670502741662289,0.6554836748811504,0.35291698796017595,-0.009784224394970618,-0.16523807271248564,-0.08662030428370357,-0.06336238125970449,0.3328875259460891,-0.054467882991700765,-0.38395929440258336,0
Modine Manufacturing Company,-0.03802687477519781,-0.15600262433161946,-0.10346251071917026,-0.4062089183924525,-0.1077336267213809,-0.047260047274172524,-0.04633796967856982,0.06926998997120115,-0.23828094035833405,-0.10796474663937293,-0.02695695235086816,-0.16523807271248564,-0.0903265402452177,-0.06336238125970449,0.35057486342734395,-0.055447258347498266,-0.38395929440258336,12
"Sonic Automotive, Inc.",-0.04655365347775322,-0.2018956894672101,-0.08937215869661973,-0.5612448049075901,-0.10823159802954516,-0.058034446380197086,-0.04904692066309994,0.06522946616073816,-0.4145899757864354,0.8844843565613876,0.03885080503354643,-0.05008782792907542,-0.0833169200571366,-0.06336238125970449,-0.16632402983513064,-0.054408526909531234,-0.06669849429539754,11
"MarineMax, Inc.",-0.036079277772446745,-0.2357200850957501,-0.13231665217240646,-0.1438937354047868,-0.08485461161850093,-0.057305161684260975,-0.04939247231417875,0.0713402828268941,-0.8549261558531542,-0.028728431105251338,-0.039094676594804784,-0.16523807271248564,-0.06373832573870318,-0.06336238125970449,-0.16360313124476672,-0.04231472516748645,-0.38395929440258336,12
Silgan Holdings Inc.,-0.018428646833645826,-0.00579727838339649,-0.0870966160868487,-0.4421993920477524,-0.12090220131505787,-0.04475360667522723,-0.04742980567067855,0.07797745632846778,0.379237092143556,0.4580903708094237,0.02601089839533249,-0.050669394821920934,-0.0061708128147497845,-0.06336238125970449,-0.1623788765434918,-0.04142438393494327,-0.07581518395365001,11
"Honda Motor Co., Ltd.",1.8257508974233223,3.473997470237636,4.945425054852622,-1.2625053415912395,-0.1080932726661662,-0.05194069035032764,-0.04150126507884819,0.0739382688734229,-0.9134048953268312,0.051077929864367454,-0.030163693146853545,-0.16413309561607914,-0.05479501722287557,-0.03793885475553061,-0.23805218486361399,-0.059646701160993576,-0.3784892806076319,18
"Group 1 Automotive, Inc.",-0.06135681230231298,-0.0996551094330802,-0.08765606952870164,-0.5730109212948998,-0.10972551195403793,-0.055831546162427935,-0.04914742876074017,0.06720726667705418,-0.013094152534323257,0.7624946333649699,0.031495687143259066,-0.08788967596403333,-0.050565074005930084,-0.06336238125970449,-0.235750346562195,-0.043487007790334965,-0.0247617218674362,11
AMC Networks Inc.,-0.0007012492976561695,-0.20796235380751293,-0.054905042043251785,0.4340302165601238,-0.07887895592052985,-0.05584272678257765,-0.04363568590822573,0.10561413426770104,1.4257446836202572,0.7168909985251877,0.2618373993747666,-0.16523807271248564,0.4590423707022649,-0.06336238125970449,-0.22957369723192436,-0.013779288664477696,-0.38395929440258336,13
"Tempur Sealy International, Inc.",-0.0403014406178268,-0.16067824736557487,-0.10372666245563536,-0.4366623961007832,-0.04980296453827247,-0.05070115835933151,-0.04733832049457967,0.07747519195154101,1.1250592246847075,0.751378747372773,0.1863026361046486,-0.16523807271248564,0.07758206288077098,-0.06336238125970449,-0.0015959201825408115,-0.03388616149941106,-0.38395929440258336,3
"Haverty Furniture Companies, Inc.",-0.056929938531096326,-0.2373235283109263,-0.135005168610168,0.3136005547135437,-0.0031043218615355718,-0.05689319130635938,-0.04999373381168165,0.07091280644715425,-1.0805493521807,-0.6475127513375463,-0.052623822173023665,0.5245002622022846,-0.06410089230015566,-0.06336238125970449,-0.14268004967530132,-0.04704837272050765,1.2862182509892686,2
"Dine Brands Global, Inc.",0.007084873902393173,-0.21520261691083686,-0.1019770808411315,-0.43320177363392737,-0.08103683158924163,-0.054089277708726194,-0.040773395245977784,0.0997795464516422,1.2092860658669446,1.335390296039734,-0.28887098541631057,0.16567348931660733,-0.2686287181328439,-0.06336238125970449,-0.10901753532190968,-0.021718164654654336,0.29796909203470123,3
"Despegar.com, Corp.",-0.1291346096017018,-0.1371789831528733,-0.11327963524496985,-0.10028989232240423,-0.014115020786500787,-0.006601930054381107,-0.039859905671204926,0.07921661043265983,-0.6594151462695169,-0.8601396987780309,-0.05453621754176975,-0.16523807271248564,-0.07739499955341292,0.006357350932723271,0.3268126484002765,-0.05080264491773137,-0.38395929440258336,2
Sonoco Products Company,-0.2370840828892218,-0.05238803685944428,-0.05354545803966102,-0.2989296219199243,-0.11116409573317912,-0.04984971866031546,-0.046457904551190685,0.07647194059961675,0.5009950646297943,-0.11509031458308888,-0.03313098003879965,0.13659514467433204,-0.03674725949724148,-0.06336238125970449,-0.08166038167325035,-0.032802912999816865,0.17215877475081712,1
"Nautilus, Inc.",-0.03129984629562259,-0.21753938553791846,-0.13082803253755002,-0.11620875566994078,-0.03956688764822942,-0.03941881169193198,-0.04741565268086475,0.0714727096235124,0.4752469629212348,-0.7025221358630336,-0.052940936802697285,-0.16523807271248564,-0.07622672952206608,-0.04131826011907111,-0.0035939397744747053,-0.03864948709351705,-0.38395929440258336,12
Gildan Activewear Inc.,-0.05718440558474044,-0.10511220462914207,-0.09775289585545252,1.4888279444577568,-0.10502244959915327,-0.04833453667538756,-0.047426512679229614,0.08036740199623058,-0.17849297537405215,-0.3416833751932568,-0.047430261146225935,-0.008215011644198975,-0.035578989465894634,-0.06336238125970449,-0.06279668209517154,-0.03496940999900525,-0.11410528051831036,1
"The Container Store Group, Inc.",-0.04916798259312491,-0.2289607680494877,-0.13259874629097107,-0.4262805287002158,-0.007198752617552782,-0.054508318544446745,-0.049371964538210134,0.0685018706593202,1.4366548962086294,0.10808247341409527,-0.02150775810219066,-0.16523807271248564,-0.07711300333894988,-0.06336238125970449,-0.12998401956415864,-0.0451638171116246,-0.38395929440258336,0
"Greif, Inc.",-0.1142248305032688,-0.10476196743905213,-0.09020009995061183,-0.2615548992778821,-0.11166206704134336,-0.049751441743157036,-0.04736230871881597,0.07687244055194488,0.08946184579637928,-0.1643992447536035,-0.03202431469851005,0.11275090206766628,-0.032436745933306546,-0.06336238125970449,-0.13766928593463107,-0.039925642860162265,0.2706190230599438,1
"Motorcar Parts of America, Inc.",-0.04013084817962962,-0.21665831739073926,-0.13079518801031784,-0.2608627747845109,-0.1074016458492714,-0.043755889234690114,-0.04668118436797519,0.08245151819212516,-1.0307987827777207,-0.6101747753124747,-0.05060464330653034,-0.16523807271248564,-0.08150408724987426,-0.056447597977383177,-0.02882885238840572,-0.03655718519704058,-0.38395929440258336,0
"Conn's, Inc.",-0.10001732360874753,-0.2142256028932211,0.0016185950851001158,3.284891004755891,-0.057881165759603725,-0.05484133955424522,-0.029612028802215317,0.07476003382672335,-1.0805493521807,0.6596014322577113,0.007369088379518339,-0.16523807271248564,-0.1037012178454644,-0.06336238125970449,2.036728291684553,-0.05975057430479028,-0.38395929440258336,12
Tuniu Corporation,0.006639459350395557,-0.18487261825620166,-0.12425998185379936,-1.127679490282539,0.01620589886616724,-0.003938985238591793,-0.03942137543803803,0.04810529677753583,-0.6956370520629139,-0.9764289676194756,-0.058610169774005474,-0.16523807271248564,-0.13089370995439972,0.009788747148010542,-0.33652087625845195,-0.06365323670743786,-0.38395929440258336,2
"Choice Hotels International, Inc.",-0.34121655037208,-0.21976665072591495,-0.11144293339738276,-0.739812924197347,-0.09489703299981342,-0.052755750219666164,-0.04439554212293141,0.1144077584900614,0.607042330988776,0.9129866283362514,-0.1914811996072568,-0.034385521822246766,-0.5828530713916519,-0.06336238125970449,-0.05680860989492615,0.5464679319133149,-0.16515874260452415,3
Meredith Corporation,0.544546301668151,-0.198848017560988,-0.09365899249979616,-0.13143549452410594,-0.01942671474025285,-0.051365169763015035,-0.04455936688537665,0.06520857280436781,1.4658942659454683,0.343511238274471,0.033838452366562216,0.6716366860921977,-0.08420319387402042,-0.06336238125970449,0.19488947615263028,-0.05292462485529261,0.3544925679158665,13
"World Wrestling Entertainment, Inc.",-0.003543034997290757,-0.2099381087155788,-0.1280550373840699,-0.35222320790950296,-0.08609953988891156,-0.04752422306493096,-0.048115941367139946,0.08443824795971372,-1.0805493521807,-0.1059695876151325,-0.036722788599388746,0.05284951210457916,0.018282287496544647,-0.06336238125970449,0.5371449939972998,-0.004801681236334022,-0.2672656667769518,11
MakeMyTrip Limited,0.07830437364240997,-0.1926767166011148,-0.13047581360894647,0.600832219462571,0.09181454248910677,-0.035832254683818864,-0.04808153054378248,0.007650689795753923,1.7561059207961798,-0.975288876748481,-0.058597226319733076,-0.16523807271248564,-0.16549867398636334,-0.06336238125970449,-0.33652087625845195,-0.15289510624934874,-0.38395929440258336,13
Booking Holdings Inc.,0.07072580457550053,0.06887920025319608,0.0013708406922759745,0.3668941407031223,0.0223198799275173,-0.05208899870776213,-0.04766006512968028,0.12204547548948474,-0.1121588828367467,0.11007763243833568,-0.026753092946077958,-0.16523807271248564,0.07476210073614065,-0.06336238125970449,-0.030581422382529044,0.047060695559305886,-0.38395929440258336,1
LCI Industries,-0.06165534906915804,-0.2169564100860268,-0.1250746581974896,0.7828609612191835,-0.10413716727352794,-0.056233657043786134,-0.04892902282124256,0.07587588517749093,0.1701974189503367,-0.3037753537326879,-0.04516192078498904,0.0662255506400258,-0.02385600397893141,-0.06336238125970449,-0.16707085513578612,-0.02784668013865986,0.25785565753839035,12
"Red Robin Gourmet Burgers, Inc.",-0.04463022373708008,-0.23140860445049866,-0.1326720608578277,-0.8713165779378653,-0.1098085071720653,-0.056456388697709525,-0.04962461258992836,0.06083705517004176,-0.40586180571573743,-0.2889541724097587,-0.04140184731885885,-0.16523807271248564,-0.11534363298543818,-0.06336238125970449,-0.33652087625845195,-0.06258482722838606,-0.38395929440258336,12
"J.Jill, Inc.",-0.028061433177179573,-0.2282748941278525,-0.13471684449781887,-0.4013640469388546,0.01639955437489779,-0.052157599274282485,-0.04989653745117223,0.079079691656573,1.4462558832863974,0.1762029029560199,-0.01499720060317693,-0.16523807271248564,0.01582489191336679,-0.06336238125970449,-0.26036265531826497,-0.004133925311926641,-0.38395929440258336,1
"Wolverine World Wide, Inc.",-0.5262055687494437,-0.1809624558437384,-0.10371669446558006,-0.0006239652769585418,-0.059264419393393324,-0.05099214806624768,-0.04637217429942669,0.0813459877645851,1.1198223226422888,-0.2316646061422823,-0.039887463168988856,-0.09777631314240694,-0.02683710681754061,-0.06336238125970449,-0.10595091199316617,-0.0041487643324690255,-0.2472089495287964,1
"Shoe Carnival, Inc.",-0.06672905250187232,-0.22529448861992554,-0.1347074745871669,2.6377546034538653,-0.06988780730089746,-0.05540259689966005,-0.04991084665500165,0.06850114053456627,-1.0805493521807,-0.9764289676194756,-0.058610169774005474,-0.015775381251190563,-0.08376005696557852,-0.06336238125970449,-0.05293978544163085,-0.052627844444444884,-0.13780867362976676,12
"Cedar Fair, L.P.",-0.13241567082969413,-0.2360035773324929,-0.1307927458527543,-0.6795980932740568,-0.10040238246229603,-0.05751592982997165,-0.049179852541819134,0.093408643929974,-0.6166471129230963,1.36560270412109,1.601640238018721,0.7641058220546332,1.4654062897738394,-0.06336238125970449,-0.02189340460636691,-0.0531472101634284,1.0017775336517916,18
"Dorman Products, Inc.",-0.08598183075607503,-0.21142978889689493,-0.10321615184495386,0.877682016811031,-0.08264140580443756,-0.049054597971331465,-0.040666363651045874,0.09213668677568436,-0.6441408486457952,-0.9764289676194756,-0.058610169774005474,-0.16523807271248564,-0.03461214530202136,-0.06336238125970449,-0.003035691603844503,-0.026867304782862363,-0.38395929440258336,12
Albany International Corp.,-0.025903438833985326,-0.22745014203505995,-0.11013493374232808,0.8984457516121653,-0.09608663112487248,-0.05431107968307478,-0.04382431120778841,0.08566714198755424,-0.4233181458571335,0.07872513348598538,-0.030545525047889138,-0.009378145429889987,-0.05338503615056042,-0.04189015948828565,0.02704086399128968,-0.046454811898812204,-0.1815687839893786,12
"AutoZone, Inc.",-0.15310000396110146,1.2467037531330696,-0.10838325884991264,-0.6318415032314474,-0.03743667705219344,-0.0239696411702248,-0.04952648519388594,0.08968785821207308,-0.9391529970353908,0.550152708642234,-0.16515421361720922,-0.16523807271248564,-0.4630046802448629,-0.06336238125970449,-0.1047535968818949,-0.008778538741693534,-0.38395929440258336,18
Toyota Motor Corporation,0.8284870573011425,10.77807418852859,15.957964135127787,-1.2638203781286448,-0.11097044022444856,-0.04801166874515611,-0.03564199603009768,0.07974312693087474,-1.0805493521807,0.11976840484178945,-0.02519664256982269,-0.16384231216965642,-0.05495615791685445,-0.06336238125970449,-0.20789930043013627,-0.05338463449210658,-0.3784892806076319,17
"Lithia Motors, Inc.",-0.08238090870646303,-0.20301957714518612,-0.0828437232898105,-0.4394308940742678,-0.11074911964304224,-0.05810568919393006,-0.049029774612747136,0.06876700120926099,-0.4940163234297881,0.8457212669475725,0.0344176719452518,-0.10475511585655302,-0.01918292385354401,-0.06336238125970449,-0.2318111798461125,-0.04040049151751862,-0.11228194258665987,11
Sleep Number Corporation,-0.048744344704935265,-0.1967144386486533,-0.13304217232858048,-1.0561138176679623,0.0056655061766905076,-0.05061834348141732,-0.04968192438797351,0.07182182374686777,-0.38055011251071297,0.2337774919412449,-0.117567603984756,-0.16523807271248564,-0.3643060051828015,-0.05358810113131044,-0.09546243161842986,-0.13872384163136986,-0.38395929440258336,18
"1-800-FLOWERS.COM, Inc.",-0.049388331159129585,-0.2323042730562225,-0.13389438563835718,0.24438810537642866,-0.04971996932024508,-0.055847521971963535,-0.04979505457807462,0.0683586096623014,-0.14488952060186444,-0.4656682574139147,-0.04809361317768608,-0.16523807271248564,-0.05640642416266432,-0.04563350081405359,-0.03125341548873007,-0.04123147666789225,-0.38395929440258336,12
